horodatage,id_session,nom_session,date_session,jour_semaine,heure,coach,lieu,capacite,places_restantes,places_reservees,taux_remplissage_pct,liste_attente_pleine
2026-07-21 15:04:04,137680502,Fondation 1 🤎 Reformer,2026-08-05 20:00:00,Mercredi,20:00,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137680561,Fondation 2 🤎 Reformer,2026-08-06 09:15:00,Jeudi,09:15,Eva Bernard,Reformer,5,2,3,60.0,False
2026-07-21 15:04:04,137680725,Core & Tone 🤎 Reformer,2026-08-06 10:15:00,Jeudi,10:15,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137680670,Soft & Stretch 🤎 Reformer,2026-08-06 11:15:00,Jeudi,11:15,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137680786,Fondation 1 🤎 Reformer,2026-08-06 12:15:00,Jeudi,12:15,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,138403741,Flow Trio ⭐️ Pilates Mat,2026-08-06 12:15:00,Jeudi,12:15,Aveline Caminade,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,138403747,Dynamic Fit ⭐️ Pilates Mat,2026-08-06 13:15:00,Jeudi,13:15,Aveline Caminade,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,137680848,Dynamic Fit 🤎 Reformer,2026-08-06 13:30:00,Jeudi,13:30,Eva Bernard,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,138403755,Fondation 2 ⭐️ Pilates Mat ,2026-08-06 14:30:00,Jeudi,14:30,Aveline Caminade,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,138403826,Fondation 1 ⭐️ Pilates Mat,2026-08-06 15:30:00,Jeudi,15:30,Aveline Caminade,Mat,8,8,0,0.0,False
2026-07-21 15:04:04,137680952,Sculpt 🤎 Reformer,2026-08-06 17:00:00,Jeudi,17:00,Justin Robert,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137681008,Dynamic Fit 🤎 Reformer,2026-08-06 18:00:00,Jeudi,18:00,Justin Robert,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137681164,Fondation 1 🤎 Reformer,2026-08-06 19:00:00,Jeudi,19:00,Justin Robert,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137681215,Soft & Stretch 🤎 Reformer,2026-08-06 20:00:00,Jeudi,20:00,Justin Robert,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137681575,Fondation 2 🤎 Reformer,2026-08-07 08:00:00,Vendredi,08:00,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137681626,Fondation 1 🤎 Reformer,2026-08-07 09:00:00,Vendredi,09:00,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137681679,Core & Tone 🤎 Reformer,2026-08-07 10:00:00,Vendredi,10:00,Léa Aveline,Reformer,5,2,3,60.0,False
2026-07-21 15:04:04,137681745,Core & Tone 🤎 Reformer,2026-08-07 12:15:00,Vendredi,12:15,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137681801,Fondation 2 🤎 Reformer,2026-08-07 13:15:00,Vendredi,13:15,Léa Aveline,Reformer,5,5,0,0.0,False
2026-07-21 15:04:04,137681278,Fondation 2 🤎 Reformer,2026-08-07 15:00:00,Vendredi,15:00,Eva Bernard,Reformer,5,5,0,0.0,False
